                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4936,                 3.3365,                 1.9078,                0.42437,                0.14104,                0.11215,                0.04954,                 2.7167,                 2.6154,                 1.8639,             0.00036497,             0.00036497,             0.00036497
                      2,                 2.2283,                 2.4987,                 1.7053,                0.77656,                0.10231,                0.10357,                 0.0491,                 2.5226,                 2.9538,                 1.8238,             0.00072802,             0.00072802,             0.00072802
                      3,                 2.1782,                 2.4004,                 1.6909,                0.43415,                 0.1245,                0.13464,                0.07612,                  2.545,                 2.4101,                 1.8655,              0.0010837,              0.0010837,              0.0010837
                      4,                 2.0917,                  2.323,                 1.6476,                0.53082,                0.14181,                 0.1458,                0.09278,                 2.3821,                   2.45,                 1.7495,               0.001078,               0.001078,               0.001078
                      5,                 2.0569,                 2.2319,                 1.6374,                0.49431,                0.15006,                0.14339,                0.06518,                 2.3357,                  2.221,                 1.7448,               0.001078,               0.001078,               0.001078
                      6,                  1.987,                 2.1666,                 1.5862,                0.35497,                0.16978,                0.14691,                0.09804,                 2.2015,                 2.2214,                 1.6629,               0.001067,               0.001067,               0.001067
                      7,                 1.9591,                 2.1072,                 1.5633,                0.32475,                0.22089,                0.17342,                 0.1172,                 2.1684,                 2.1006,                 1.6645,               0.001056,               0.001056,               0.001056
                      8,                 1.9331,                 2.1031,                  1.554,                0.27366,                0.21617,                0.14642,                0.09224,                 2.1633,                 2.0992,                 1.6465,               0.001045,               0.001045,               0.001045
                      9,                 1.8901,                 2.0575,                 1.5319,                0.36985,                0.21387,                0.19393,                0.12843,                 2.1137,                 2.0489,                 1.5928,               0.001034,               0.001034,               0.001034
                     10,                 1.8282,                 1.9806,                 1.5038,                0.66831,                0.20355,                0.18319,                 0.1351,                 2.0742,                 2.0412,                  1.572,               0.001023,               0.001023,               0.001023
                     11,                 1.8043,                  1.947,                 1.4789,                0.50187,                0.20759,                0.19141,                0.13751,                 2.0245,                 2.0175,                 1.5533,               0.001012,               0.001012,               0.001012
                     12,                 1.7615,                 1.8942,                 1.4569,                0.54694,                0.22316,                0.19863,                0.14795,                 2.0198,                 1.9597,                 1.5402,               0.001001,               0.001001,               0.001001
                     13,                 1.7573,                 1.9253,                 1.4662,                0.47842,                0.21479,                0.18511,                0.12859,                 2.0671,                 1.9379,                 1.5889,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.7037,                 1.8646,                 1.4292,                0.56419,                0.23614,                0.19709,                0.13852,                   1.95,                 1.8556,                 1.5362,             0.00097901,             0.00097901,             0.00097901
